pair_id,card_a,card_b,ground_truth,prediction,correct,adherence_score,order_score,combined_score,response_len,has_card_description,has_order_of_events,has_synergy_analysis,has_conclusion,has_final_score
Armaments|Armaments,Armaments,Armaments,1,1,1,1.0,1.0,1.0,1323,1,1,1,1,1
Armaments|Corruption,Armaments,Corruption,1,0,0,1.0,1.0,1.0,1509,1,1,1,1,1
Armaments|Havoc,Armaments,Havoc,1,1,1,1.0,1.0,1.0,1501,1,1,1,1,1
Armaments|Bash,Armaments,Bash,1,0,0,1.0,1.0,1.0,1283,1,1,1,1,1
Armaments|Feel No Pain,Armaments,Feel No Pain,1,0,0,1.0,1.0,1.0,1446,1,1,1,1,1
Armaments|Bludgeon,Armaments,Bludgeon,1,0,0,1.0,1.0,1.0,1182,1,1,1,1,1
Armaments|Combust,Armaments,Combust,1,0,0,1.0,1.0,1.0,1478,1,1,1,1,1
Armaments|Heavy Blade,Armaments,Heavy Blade,1,0,0,1.0,1.0,1.0,1492,1,1,1,1,1
Armaments|Immolate,Armaments,Immolate,1,0,0,1.0,1.0,1.0,1562,1,1,1,1,1
Armaments|Demon Form,Armaments,Demon Form,1,0,0,1.0,1.0,1.0,1274,1,1,1,1,1
Armaments|Evolve,Armaments,Evolve,1,0,0,1.0,1.0,1.0,1384,1,1,1,1,1
Armaments|Intimidate,Armaments,Intimidate,1,0,0,1.0,1.0,1.0,1591,1,1,1,1,1
Armaments|Rupture,Armaments,Rupture,1,0,0,1.0,1.0,1.0,1395,1,1,1,1,1
Armaments|Thunderclap,Armaments,Thunderclap,1,1,1,1.0,1.0,1.0,1582,1,1,1,1,1
Armaments|Flex,Armaments,Flex,1,0,0,1.0,1.0,1.0,1654,1,1,1,1,1
Armaments|Wild Strike,Armaments,Wild Strike,1,0,0,1.0,1.0,1.0,1549,1,1,1,1,1
Armaments|Body Slam,Armaments,Body Slam,1,1,1,1.0,1.0,1.0,1259,1,1,1,1,1
Armaments|Entrench,Armaments,Entrench,1,1,1,1.0,1.0,1.0,1196,1,1,1,1,1
Armaments|Spot Weakness,Armaments,Spot Weakness,1,0,0,1.0,1.0,1.0,1417,1,1,1,1,1
Armaments|Exhume,Armaments,Exhume,1,0,0,1.0,1.0,1.0,1391,1,1,1,1,1
Armaments|Hemokinesis,Armaments,Hemokinesis,1,1,1,1.0,1.0,1.0,1526,1,1,1,1,1
Armaments|Infernal Blade,Armaments,Infernal Blade,1,1,1,1.0,1.0,1.0,1629,1,1,1,1,1
Armaments|Shrug it Off,Armaments,Shrug it Off,1,1,1,1.0,1.0,1.0,1409,1,1,1,1,1
Armaments|Power Through,Armaments,Power Through,1,-1,0,1.0,1.0,1.0,1523,1,1,1,1,1
Armaments|Pummel,Armaments,Pummel,1,0,0,1.0,1.0,1.0,1528,1,1,1,1,1
Armaments|Disarm,Armaments,Disarm,1,0,0,1.0,1.0,1.0,1340,1,1,1,1,1
Armaments|Cleave,Armaments,Cleave,1,0,0,1.0,1.0,1.0,1213,1,1,1,1,1
Armaments|Whirlwind,Armaments,Whirlwind,1,0,0,1.0,1.0,1.0,1736,1,1,1,1,1
Armaments|Rampage,Armaments,Rampage,1,1,1,1.0,1.0,1.0,1225,1,1,1,1,1
Armaments|Dropkick,Armaments,Dropkick,1,0,0,1.0,1.0,1.0,1493,1,1,1,1,1
Armaments|Sentinel,Armaments,Sentinel,1,0,0,1.0,1.0,1.0,1459,1,1,1,1,1
Armaments|Searing Blow,Armaments,Searing Blow,1,1,1,1.0,1.0,1.0,1308,1,1,1,1,1
Armaments|True Grit,Armaments,True Grit,1,1,1,1.0,1.0,1.0,1567,1,1,1,1,1
Armaments|Brutality,Armaments,Brutality,1,0,0,1.0,1.0,1.0,1450,1,1,1,1,1
Armaments|Bloodletting,Armaments,Bloodletting,1,0,0,1.0,1.0,1.0,1548,1,1,1,1,1
Armaments|Reaper,Armaments,Reaper,1,-1,0,1.0,1.0,1.0,1393,1,1,1,1,1
Armaments|Iron Wave,Armaments,Iron Wave,1,1,1,1.0,1.0,1.0,1385,1,1,1,1,1
Armaments|Sever Soul,Armaments,Sever Soul,1,-1,0,1.0,1.0,1.0,1475,1,1,1,1,1
Armaments|Anger,Armaments,Anger,1,0,0,1.0,1.0,1.0,1411,1,1,1,1,1
Armaments|Sword Boomerang,Armaments,Sword Boomerang,1,0,0,1.0,1.0,1.0,1671,1,1,1,1,1
