First\Second,Bash,Defend,Strike,Anger,Armaments,Body Slam,Clash,Cleave,Clothesline,Flex,Havoc,Headbutt,Heavy Blade,Iron Wave,Perfected Strike,Pommel Strike,Shrug it Off,Sword Boomerang,Thunderclap,True Grit,Twin Strike,Warcry,Wild Strike,Battle Trance,Blood for Blood,Bloodletting,Burning Pact,Carnage,Combust,Dark Embrace,Disarm,Dropkick,Dual Wield,Entrench,Evolve,Feel No Pain,Fire Breathing,Flame Barrier,Ghostly Armor,Hemokinesis,Infernal Blade,Inflame,Intimidate,Metallicize,Power Through,Pummel,Rage,Rampage,Reckless Charge,Rupture,Searing Blow,Second Wind,Seeing Red,Sentinel,Sever Soul,Shockwave,Spot Weakness,Uppercut,Whirlwind,Barricade,Berserk,Bludgeon,Brutality,Corruption,Demon Form,Double Tap,Exhume,Feed,Fiend Fire,Immolate,Impervious,Juggernaut,Limit Break,Offering,Reaper
Bash,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Defend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armaments,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothesline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
