First\Second,Bash,Defend,Strike,Anger,Armaments,Body Slam,Clash,Cleave,Clothesline,Flex,Havoc,Headbutt,Heavy Blade,Iron Wave,Perfected Strike,Pommel Strike,Shrug it Off,Sword Boomerang,Thunderclap,True Grit,Twin Strike,Warcry,Wild Strike,Battle Trance,Blood for Blood,Bloodletting,Burning Pact,Carnage,Combust,Dark Embrace,Disarm,Dropkick,Dual Wield,Entrench,Evolve,Feel No Pain,Fire Breathing,Flame Barrier,Ghostly Armor,Hemokinesis,Infernal Blade,Inflame,Intimidate,Metallicize,Power Through,Pummel,Rage,Rampage,Reckless Charge,Rupture,Searing Blow,Second Wind,Seeing Red,Sentinel,Sever Soul,Shockwave,Spot Weakness,Uppercut,Whirlwind,Barricade,Berserk,Bludgeon,Brutality,Corruption,Demon Form,Double Tap,Exhume,Feed,Fiend Fire,Immolate,Impervious,Juggernaut,Limit Break,Offering,Reaper
Bash,1,0,1,1,0,1,1,1,1,0,0.5,1,1,1,1,1,0,0.5,1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
Defend,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5
Strike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anger,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,-0.5,0.5,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0
Armaments,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Body Slam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clothesline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5
Flex,1,0,1,1,0,1,1,1.5,1,0,0.5,1,2,1,1,1,0,2,1.5,0,2,0,1,0,1,0.5,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,2,0,1,1,0,1,0,0.5,0,1,0,0,1,1.5,0,0,0.5,0,0,0,0,0,1,1.5,1.5,0,0,2,0.5,2
Havoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Headbutt,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0
Heavy Blade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Wave,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5
Perfected Strike,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pommel Strike,0,0,0,0,0.5,0,-1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0,-1,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0.5,0
Shrug it Off,0,0,0,0,0.5,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,-0.5,1,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0,-1,0,0,0,0,1,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0.5,-0.5
Sword Boomerang,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,-1,-0.5,-0.5,0,0,0,0,-0.5
Thunderclap,1,0,1,1,0,1,1,1.5,1,0,0.5,1,1,1,1,1,0,1,1.5,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1.5,0,0,1,0,0,0,0,0,1,1.5,1.5,0,0,0,0,2
True Grit,0,0,0,0,-0.5,2,0.5,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0,-0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0.5,0.5,0,0,0,0,1,0,0,0,0,0,-0.5,1,0,-0.5,0,0,0,0,0,-0.5
Twin Strike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warcry,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.5,-0.5,0,0,0,0,-0.5,0,-0.5,0,0,-0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,-0.5,0
Wild Strike,0,0,0,0,0,0,-0.5,0,0,0,0,0.5,0,0,0.5,-0.5,-0.5,0,0,0.5,0,0.5,0,-0.5,0,-0.5,1,0,0,0,0,0,-0.5,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0.5,0,0,0,0,-0.5,0
Battle Trance,0,0,0,0,1,0,-1.5,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-0.5,0,-1,0,1,-1,0,0,-0.5,0,-0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0,-1,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,-1,0
Blood for Blood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloodletting,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,1,1,0,0,0.5,0,0.5,0,1,2,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,-0.5,0,0,0,0,0,0,0,0.5,0,1,0.5
Burning Pact,0,0,0,0,1,0,-0.5,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0.5,0,0,0,0,0.5,0
